keyword,count,weather,wind_direction
000,7,CLOUDY,NW
100,5,CLOUDY,NW
101,2,CLOUDY,NW
1st,16,CLOUDY,NW
2010,13,CLOUDY,NW
2nd,11,CLOUDY,NW
aan,8,CLOUDY,NW
able,6,CLOUDY,NW
absolutely,6,CLOUDY,NW
accident,5,CLOUDY,NW
account,7,CLOUDY,NW
aching,2,CLOUDY,NW
act,7,CLOUDY,NW
action,5,CLOUDY,NW
actually,22,CLOUDY,NW
adam,3,CLOUDY,NW
add,3,CLOUDY,NW
after,48,CLOUDY,NW
afternoon,5,CLOUDY,NW
again,45,CLOUDY,NW
against,8,CLOUDY,NW
age,8,CLOUDY,NW
ago,10,CLOUDY,NW
ahead,5,CLOUDY,NW
ain,6,CLOUDY,NW
aint,15,CLOUDY,NW
air,9,CLOUDY,NW
airport,3,CLOUDY,NW
alarm,7,CLOUDY,NW
album,2,CLOUDY,NW
alive,7,CLOUDY,NW
almost,25,CLOUDY,NW
alone,11,CLOUDY,NW
along,4,CLOUDY,NW
already,22,CLOUDY,NW
alright,1,CLOUDY,NW
als,8,CLOUDY,NW
also,15,CLOUDY,NW
always,43,CLOUDY,NW
amazing,34,CLOUDY,NW
american,53,CLOUDY,NW
android,2,CLOUDY,NW
annoying,10,CLOUDY,NW
another,26,CLOUDY,NW
answer,6,CLOUDY,NW
any,26,CLOUDY,NW
anybody,6,CLOUDY,NW
anymore,5,CLOUDY,NW
anyone,38,CLOUDY,NW
anything,20,CLOUDY,NW
anytime,1,CLOUDY,NW
anyway,5,CLOUDY,NW
app,8,CLOUDY,NW
apparently,5,CLOUDY,NW
appetite,3,CLOUDY,NW
apple,12,CLOUDY,NW
arcade,17,CLOUDY,NW
around,29,CLOUDY,NW
art,26,CLOUDY,NW
arts,18,CLOUDY,NW
ask,14,CLOUDY,NW
asked,6,CLOUDY,NW
asking,2,CLOUDY,NW
asleep,8,CLOUDY,NW
ass,5,CLOUDY,NW
ate,5,CLOUDY,NW
attention,9,CLOUDY,NW
august,26,CLOUDY,NW
awake,7,CLOUDY,NW
away,27,CLOUDY,NW
awesome,6,CLOUDY,NW
baby,24,CLOUDY,NW
back,91,CLOUDY,NW
bad,39,CLOUDY,NW
band,2,CLOUDY,NW
bar,7,CLOUDY,NW
baseball,1,CLOUDY,NW
basketball,4,CLOUDY,NW
bday,5,CLOUDY,NW
beach,6,CLOUDY,NW
beat,1,CLOUDY,NW
beautiful,17,CLOUDY,NW
beauty,8,CLOUDY,NW
because,35,CLOUDY,NW
become,6,CLOUDY,NW
bed,33,CLOUDY,NW
been,53,CLOUDY,NW
beer,12,CLOUDY,NW
before,36,CLOUDY,NW
beginning,4,CLOUDY,NW
behind,11,CLOUDY,NW
being,50,CLOUDY,NW
believe,20,CLOUDY,NW
ben,8,CLOUDY,NW
best,70,CLOUDY,NW
bet,8,CLOUDY,NW
better,40,CLOUDY,NW
between,10,CLOUDY,NW
beyond,2,CLOUDY,NW
bieber,10,CLOUDY,NW
big,46,CLOUDY,NW
biggest,3,CLOUDY,NW
bill,7,CLOUDY,NW
birthday,19,CLOUDY,NW
bit,9,CLOUDY,NW
black,18,CLOUDY,NW
blackberry,4,CLOUDY,NW
blog,3,CLOUDY,NW
blood,14,CLOUDY,NW
blue,4,CLOUDY,NW
body,16,CLOUDY,NW
bomb,3,CLOUDY,NW
book,12,CLOUDY,NW
books,9,CLOUDY,NW
bored,18,CLOUDY,NW
boring,21,CLOUDY,NW
both,4,CLOUDY,NW
bought,3,CLOUDY,NW
bout,21,CLOUDY,NW
box,9,CLOUDY,NW
boy,22,CLOUDY,NW
boyfriend,4,CLOUDY,NW
boys,7,CLOUDY,NW
brain,6,CLOUDY,NW
break,12,CLOUDY,NW
breakfast,4,CLOUDY,NW
breath,4,CLOUDY,NW
breathing,3,CLOUDY,NW
briefing,1,CLOUDY,NW
briefly,17,CLOUDY,NW
