keyword,count,weather,wind_direction
000,1,CLOUDY,NW
100,4,CLOUDY,NW
1st,6,CLOUDY,NW
2010,16,CLOUDY,NW
2nd,4,CLOUDY,NW
able,4,CLOUDY,NW
absolutely,1,CLOUDY,NW
account,3,CLOUDY,NW
act,5,CLOUDY,NW
action,6,CLOUDY,NW
actually,13,CLOUDY,NW
add,2,CLOUDY,NW
after,25,CLOUDY,NW
afternoon,3,CLOUDY,NW
again,32,CLOUDY,NW
against,6,CLOUDY,NW
age,4,CLOUDY,NW
ago,5,CLOUDY,NW
ahead,3,CLOUDY,NW
ain,5,CLOUDY,NW
aint,10,CLOUDY,NW
air,2,CLOUDY,NW
airport,3,CLOUDY,NW
alarm,20,CLOUDY,NW
album,3,CLOUDY,NW
almost,12,CLOUDY,NW
alone,5,CLOUDY,NW
along,1,CLOUDY,NW
already,26,CLOUDY,NW
als,3,CLOUDY,NW
also,9,CLOUDY,NW
always,22,CLOUDY,NW
amazing,17,CLOUDY,NW
american,41,CLOUDY,NW
android,3,CLOUDY,NW
annoying,3,CLOUDY,NW
another,11,CLOUDY,NW
answer,4,CLOUDY,NW
any,14,CLOUDY,NW
anybody,2,CLOUDY,NW
anymore,3,CLOUDY,NW
anyone,16,CLOUDY,NW
anything,6,CLOUDY,NW
anytime,2,CLOUDY,NW
anyway,2,CLOUDY,NW
app,5,CLOUDY,NW
apparently,2,CLOUDY,NW
appetite,1,CLOUDY,NW
apple,3,CLOUDY,NW
arcade,8,CLOUDY,NW
around,14,CLOUDY,NW
art,4,CLOUDY,NW
arts,2,CLOUDY,NW
ask,7,CLOUDY,NW
asked,1,CLOUDY,NW
asking,4,CLOUDY,NW
asleep,4,CLOUDY,NW
ass,5,CLOUDY,NW
ate,3,CLOUDY,NW
attention,3,CLOUDY,NW
august,10,CLOUDY,NW
awake,4,CLOUDY,NW
away,10,CLOUDY,NW
awesome,6,CLOUDY,NW
baby,12,CLOUDY,NW
back,45,CLOUDY,NW
bad,25,CLOUDY,NW
band,3,CLOUDY,NW
bar,5,CLOUDY,NW
baseball,1,CLOUDY,NW
basketball,4,CLOUDY,NW
bday,2,CLOUDY,NW
beach,2,CLOUDY,NW
beat,3,CLOUDY,NW
beautiful,5,CLOUDY,NW
beauty,2,CLOUDY,NW
because,23,CLOUDY,NW
become,4,CLOUDY,NW
bed,18,CLOUDY,NW
been,23,CLOUDY,NW
beer,3,CLOUDY,NW
before,12,CLOUDY,NW
beginning,8,CLOUDY,NW
behind,2,CLOUDY,NW
being,24,CLOUDY,NW
believe,13,CLOUDY,NW
ben,2,CLOUDY,NW
best,41,CLOUDY,NW
bet,7,CLOUDY,NW
better,24,CLOUDY,NW
between,6,CLOUDY,NW
beyond,3,CLOUDY,NW
