keyword,count,weather,wind_direction
000,4,CLEAR,WNW
100,4,CLEAR,WNW
1st,4,CLEAR,WNW
2010,11,CLEAR,WNW
2nd,4,CLEAR,WNW
aan,2,CLEAR,WNW
able,4,CLEAR,WNW
absolutely,1,CLEAR,WNW
accident,1,CLEAR,WNW
account,2,CLEAR,WNW
aching,1,CLEAR,WNW
act,1,CLEAR,WNW
action,1,CLEAR,WNW
actually,4,CLEAR,WNW
add,1,CLEAR,WNW
after,11,CLEAR,WNW
afternoon,3,CLEAR,WNW
again,16,CLEAR,WNW
against,2,CLEAR,WNW
age,3,CLEAR,WNW
ago,3,CLEAR,WNW
ahead,3,CLEAR,WNW
ain,1,CLEAR,WNW
aint,1,CLEAR,WNW
air,5,CLEAR,WNW
alarm,3,CLEAR,WNW
album,2,CLEAR,WNW
alive,2,CLEAR,WNW
almost,6,CLEAR,WNW
alone,2,CLEAR,WNW
along,3,CLEAR,WNW
already,8,CLEAR,WNW
alright,2,CLEAR,WNW
als,2,CLEAR,WNW
also,7,CLEAR,WNW
always,14,CLEAR,WNW
amazing,10,CLEAR,WNW
american,3,CLEAR,WNW
android,32,CLEAR,WNW
annoying,5,CLEAR,WNW
another,8,CLEAR,WNW
answer,2,CLEAR,WNW
any,11,CLEAR,WNW
anybody,2,CLEAR,WNW
anymore,3,CLEAR,WNW
anyone,13,CLEAR,WNW
anything,5,CLEAR,WNW
app,7,CLEAR,WNW
apparently,3,CLEAR,WNW
apple,5,CLEAR,WNW
arcade,10,CLEAR,WNW
around,6,CLEAR,WNW
art,9,CLEAR,WNW
arts,1,CLEAR,WNW
ask,12,CLEAR,WNW
asked,1,CLEAR,WNW
asking,1,CLEAR,WNW
asleep,2,CLEAR,WNW
ass,1,CLEAR,WNW
ate,1,CLEAR,WNW
attention,2,CLEAR,WNW
august,5,CLEAR,WNW
awake,2,CLEAR,WNW
away,16,CLEAR,WNW
awesome,9,CLEAR,WNW
baby,9,CLEAR,WNW
back,28,CLEAR,WNW
bad,17,CLEAR,WNW
band,1,CLEAR,WNW
bar,2,CLEAR,WNW
basketball,2,CLEAR,WNW
bb11,1,CLEAR,WNW
bday,2,CLEAR,WNW
beach,1,CLEAR,WNW
beautiful,6,CLEAR,WNW
beauty,3,CLEAR,WNW
because,13,CLEAR,WNW
become,1,CLEAR,WNW
bed,9,CLEAR,WNW
been,15,CLEAR,WNW
beer,3,CLEAR,WNW
before,13,CLEAR,WNW
beg,1,CLEAR,WNW
beginning,1,CLEAR,WNW
behind,9,CLEAR,WNW
being,18,CLEAR,WNW
believe,9,CLEAR,WNW
ben,1,CLEAR,WNW
best,23,CLEAR,WNW
bet,4,CLEAR,WNW
better,11,CLEAR,WNW
between,6,CLEAR,WNW
beyond,1,CLEAR,WNW
bieber,3,CLEAR,WNW
big,12,CLEAR,WNW
bill,1,CLEAR,WNW
birthday,5,CLEAR,WNW
bit,1,CLEAR,WNW
black,6,CLEAR,WNW
blackberry,4,CLEAR,WNW
blog,1,CLEAR,WNW
blood,5,CLEAR,WNW
blue,2,CLEAR,WNW
body,3,CLEAR,WNW
bomb,2,CLEAR,WNW
book,6,CLEAR,WNW
books,1,CLEAR,WNW
boondocks,10,CLEAR,WNW
bored,2,CLEAR,WNW
boring,1,CLEAR,WNW
both,3,CLEAR,WNW
bought,1,CLEAR,WNW
bout,6,CLEAR,WNW
boy,8,CLEAR,WNW
boys,2,CLEAR,WNW
brain,3,CLEAR,WNW
break,5,CLEAR,WNW
breakfast,4,CLEAR,WNW
breath,2,CLEAR,WNW
briefing,5,CLEAR,WNW
briefly,1,CLEAR,WNW
bring,5,CLEAR,WNW
bro,2,CLEAR,WNW
brother,5,CLEAR,WNW
building,1,CLEAR,WNW
burn,5,CLEAR,WNW
burning,1,CLEAR,WNW
bus,3,CLEAR,WNW
business,4,CLEAR,WNW
busy,2,CLEAR,WNW
buy,3,CLEAR,WNW
call,10,CLEAR,WNW
called,4,CLEAR,WNW
calling,4,CLEAR,WNW
calls,3,CLEAR,WNW
came,3,CLEAR,WNW
camp,1,CLEAR,WNW
cannot,6,CLEAR,WNW
cant,11,CLEAR,WNW
car,17,CLEAR,WNW
care,6,CLEAR,WNW
cars,16,CLEAR,WNW
case,4,CLEAR,WNW
cat,2,CLEAR,WNW
catch,4,CLEAR,WNW
caught,1,CLEAR,WNW
cause,8,CLEAR,WNW
chance,2,CLEAR,WNW
change,5,CLEAR,WNW
changed,2,CLEAR,WNW
channel,2,CLEAR,WNW
check,6,CLEAR,WNW
cheese,1,CLEAR,WNW
chick,1,CLEAR,WNW
chicken,7,CLEAR,WNW
child,2,CLEAR,WNW
children,4,CLEAR,WNW
china,2,CLEAR,WNW
chocolate,2,CLEAR,WNW
choice,2,CLEAR,WNW
chris,1,CLEAR,WNW
christmas,1,CLEAR,WNW
church,8,CLEAR,WNW
city,5,CLEAR,WNW
class,2,CLEAR,WNW
clean,3,CLEAR,WNW
cleaning,2,CLEAR,WNW
close,5,CLEAR,WNW
clothes,1,CLEAR,WNW
club,1,CLEAR,WNW
coffee,2,CLEAR,WNW
cold,4,CLEAR,WNW
college,5,CLEAR,WNW
com,1,CLEAR,WNW
come,7,CLEAR,WNW
comes,4,CLEAR,WNW
