keyword,count,weather,wind_direction
000,2,CLEAR,WNW
100,2,CLEAR,WNW
1st,6,CLEAR,WNW
2010,3,CLEAR,WNW
2nd,2,CLEAR,WNW
aan,5,CLEAR,WNW
able,4,CLEAR,WNW
absolutely,3,CLEAR,WNW
account,4,CLEAR,WNW
act,3,CLEAR,WNW
action,2,CLEAR,WNW
actually,9,CLEAR,WNW
add,4,CLEAR,WNW
after,15,CLEAR,WNW
afternoon,2,CLEAR,WNW
again,20,CLEAR,WNW
against,4,CLEAR,WNW
age,1,CLEAR,WNW
ago,8,CLEAR,WNW
ahead,2,CLEAR,WNW
ain,1,CLEAR,WNW
aint,2,CLEAR,WNW
air,5,CLEAR,WNW
airport,3,CLEAR,WNW
alarm,6,CLEAR,WNW
album,4,CLEAR,WNW
almost,10,CLEAR,WNW
alone,5,CLEAR,WNW
along,3,CLEAR,WNW
already,16,CLEAR,WNW
alright,4,CLEAR,WNW
als,3,CLEAR,WNW
also,6,CLEAR,WNW
always,19,CLEAR,WNW
amazing,9,CLEAR,WNW
american,1,CLEAR,WNW
android,5,CLEAR,WNW
annoying,3,CLEAR,WNW
another,9,CLEAR,WNW
answer,2,CLEAR,WNW
any,20,CLEAR,WNW
anybody,4,CLEAR,WNW
anymore,6,CLEAR,WNW
anyone,14,CLEAR,WNW
anything,11,CLEAR,WNW
anytime,1,CLEAR,WNW
anyway,2,CLEAR,WNW
app,3,CLEAR,WNW
apparently,5,CLEAR,WNW
arcade,12,CLEAR,WNW
around,12,CLEAR,WNW
art,2,CLEAR,WNW
arts,11,CLEAR,WNW
asked,1,CLEAR,WNW
asleep,2,CLEAR,WNW
ass,5,CLEAR,WNW
attention,2,CLEAR,WNW
august,12,CLEAR,WNW
awake,1,CLEAR,WNW
away,13,CLEAR,WNW
awesome,6,CLEAR,WNW
baby,12,CLEAR,WNW
back,42,CLEAR,WNW
bad,19,CLEAR,WNW
band,3,CLEAR,WNW
bar,1,CLEAR,WNW
baseball,1,CLEAR,WNW
basketball,3,CLEAR,WNW
bday,1,CLEAR,WNW
beach,5,CLEAR,WNW
beat,2,CLEAR,WNW
beautiful,7,CLEAR,WNW
beauty,3,CLEAR,WNW
because,10,CLEAR,WNW
become,2,CLEAR,WNW
bed,16,CLEAR,WNW
been,11,CLEAR,WNW
beer,1,CLEAR,WNW
before,11,CLEAR,WNW
beginning,3,CLEAR,WNW
behind,1,CLEAR,WNW
being,21,CLEAR,WNW
believe,9,CLEAR,WNW
ben,3,CLEAR,WNW
best,22,CLEAR,WNW
bet,1,CLEAR,WNW
better,16,CLEAR,WNW
between,4,CLEAR,WNW
beyond,2,CLEAR,WNW
bieber,2,CLEAR,WNW
big,18,CLEAR,WNW
biggest,1,CLEAR,WNW
bill,4,CLEAR,WNW
birthday,9,CLEAR,WNW
bit,7,CLEAR,WNW
black,13,CLEAR,WNW
blackberry,1,CLEAR,WNW
blood,3,CLEAR,WNW
blows,1,CLEAR,WNW
blue,6,CLEAR,WNW
body,5,CLEAR,WNW
book,7,CLEAR,WNW
books,3,CLEAR,WNW
boondocks,19,CLEAR,WNW
bored,3,CLEAR,WNW
boring,8,CLEAR,WNW
both,6,CLEAR,WNW
bought,2,CLEAR,WNW
bout,5,CLEAR,WNW
box,2,CLEAR,WNW
boy,7,CLEAR,WNW
boyfriend,1,CLEAR,WNW
boys,3,CLEAR,WNW
brain,4,CLEAR,WNW
break,3,CLEAR,WNW
breakfast,2,CLEAR,WNW
breath,2,CLEAR,WNW
breathing,1,CLEAR,WNW
briefing,2,CLEAR,WNW
briefly,12,CLEAR,WNW
bring,3,CLEAR,WNW
bro,1,CLEAR,WNW
broke,1,CLEAR,WNW
broken,3,CLEAR,WNW
brother,5,CLEAR,WNW
brown,4,CLEAR,WNW
building,1,CLEAR,WNW
burn,1,CLEAR,WNW
burning,2,CLEAR,WNW
bus,3,CLEAR,WNW
business,6,CLEAR,WNW
busy,3,CLEAR,WNW
buy,4,CLEAR,WNW
bye,1,CLEAR,WNW
call,2,CLEAR,WNW
called,10,CLEAR,WNW
calls,1,CLEAR,WNW
came,5,CLEAR,WNW
cannot,5,CLEAR,WNW
cant,6,CLEAR,WNW
car,8,CLEAR,WNW
card,3,CLEAR,WNW
care,9,CLEAR,WNW
cars,20,CLEAR,WNW
case,3,CLEAR,WNW
cat,4,CLEAR,WNW
cause,13,CLEAR,WNW
chance,3,CLEAR,WNW
change,12,CLEAR,WNW
changed,2,CLEAR,WNW
channel,5,CLEAR,WNW
character,3,CLEAR,WNW
check,2,CLEAR,WNW
cheese,3,CLEAR,WNW
chest,1,CLEAR,WNW
chick,4,CLEAR,WNW
chicken,7,CLEAR,WNW
child,2,CLEAR,WNW
children,5,CLEAR,WNW
chocolate,2,CLEAR,WNW
choice,3,CLEAR,WNW
chris,1,CLEAR,WNW
christmas,2,CLEAR,WNW
church,8,CLEAR,WNW
city,2,CLEAR,WNW
class,6,CLEAR,WNW
clean,2,CLEAR,WNW
cleaning,1,CLEAR,WNW
close,5,CLEAR,WNW
closed,5,CLEAR,WNW
clothes,3,CLEAR,WNW
club,5,CLEAR,WNW
coffee,5,CLEAR,WNW
cold,7,CLEAR,WNW
college,1,CLEAR,WNW
com,2,CLEAR,WNW
come,13,CLEAR,WNW
comes,5,CLEAR,WNW
coming,19,CLEAR,WNW
company,2,CLEAR,WNW
completely,3,CLEAR,WNW
computer,2,CLEAR,WNW
con,6,CLEAR,WNW
concert,2,CLEAR,WNW
control,2,CLEAR,WNW
cook,3,CLEAR,WNW
cool,7,CLEAR,WNW
cough,1,CLEAR,WNW
could,11,CLEAR,WNW
count,1,CLEAR,WNW
country,3,CLEAR,WNW
couple,2,CLEAR,WNW
course,5,CLEAR,WNW
crazy,8,CLEAR,WNW
crisis,10,CLEAR,WNW
cry,1,CLEAR,WNW
crying,1,CLEAR,WNW
cup,1,CLEAR,WNW
currently,4,CLEAR,WNW
cut,4,CLEAR,WNW
cute,3,CLEAR,WNW
cuz,11,CLEAR,WNW
dad,10,CLEAR,WNW
dan,4,CLEAR,WNW
dance,6,CLEAR,WNW
dat,11,CLEAR,WNW
date,1,CLEAR,WNW
david,3,CLEAR,WNW
days,15,CLEAR,WNW
dead,9,CLEAR,WNW
deal,3,CLEAR,WNW
dear,3,CLEAR,WNW
death,1,CLEAR,WNW
decided,3,CLEAR,WNW
deep,2,CLEAR,WNW
definitely,3,CLEAR,WNW
depressing,2,CLEAR,WNW
design,1,CLEAR,WNW
did,12,CLEAR,WNW
didn,6,CLEAR,WNW
die,8,CLEAR,WNW
dies,8,CLEAR,WNW
difference,2,CLEAR,WNW
different,2,CLEAR,WNW
dinner,4,CLEAR,WNW
dis,5,CLEAR,WNW
disaster,21,CLEAR,WNW
dit,2,CLEAR,WNW
doctor,2,CLEAR,WNW
does,9,CLEAR,WNW
doesn,8,CLEAR,WNW
dog,2,CLEAR,WNW
doing,11,CLEAR,WNW
don,40,CLEAR,WNW
done,16,CLEAR,WNW
dont,17,CLEAR,WNW
door,3,CLEAR,WNW
down,17,CLEAR,WNW
dream,8,CLEAR,WNW
dreams,3,CLEAR,WNW
drink,5,CLEAR,WNW
drinking,6,CLEAR,WNW
drive,5,CLEAR,WNW
driving,3,CLEAR,WNW
drunk,1,CLEAR,WNW
dry,1,CLEAR,WNW
dude,9,CLEAR,WNW
due,2,CLEAR,WNW
dumb,1,CLEAR,WNW
during,1,CLEAR,WNW
dying,2,CLEAR,WNW
each,3,CLEAR,WNW
early,7,CLEAR,WNW
earth,4,CLEAR,WNW
eat,8,CLEAR,WNW
eating,3,CLEAR,WNW
echt,2,CLEAR,WNW
een,9,CLEAR,WNW
either,4,CLEAR,WNW
else,3,CLEAR,WNW
end,8,CLEAR,WNW
energy,3,CLEAR,WNW
english,5,CLEAR,WNW
enjoying,2,CLEAR,WNW
enough,10,CLEAR,WNW
epic,4,CLEAR,WNW
episode,7,CLEAR,WNW
eric,5,CLEAR,WNW
especially,2,CLEAR,WNW
even,22,CLEAR,WNW
evening,1,CLEAR,WNW
ever,18,CLEAR,WNW
every,9,CLEAR,WNW
everybody,4,CLEAR,WNW
everyone,20,CLEAR,WNW
everything,9,CLEAR,WNW
everywhere,1,CLEAR,WNW
evil,4,CLEAR,WNW
exactly,5,CLEAR,WNW
excited,8,CLEAR,WNW
experience,2,CLEAR,WNW
extra,1,CLEAR,WNW
eye,8,CLEAR,WNW
eyes,3,CLEAR,WNW
face,4,CLEAR,WNW
facebook,7,CLEAR,WNW
fact,3,CLEAR,WNW
faith,5,CLEAR,WNW
fake,3,CLEAR,WNW
fall,4,CLEAR,WNW
family,13,CLEAR,WNW
fan,1,CLEAR,WNW
fans,3,CLEAR,WNW
far,5,CLEAR,WNW
fashion,3,CLEAR,WNW
fast,3,CLEAR,WNW
fat,2,CLEAR,WNW
father,2,CLEAR,WNW
fav,5,CLEAR,WNW
favorite,8,CLEAR,WNW
fear,4,CLEAR,WNW
feel,15,CLEAR,WNW
feeling,7,CLEAR,WNW
feels,4,CLEAR,WNW
feet,1,CLEAR,WNW
felt,3,CLEAR,WNW
festival,2,CLEAR,WNW
few,2,CLEAR,WNW
fight,4,CLEAR,WNW
filled,4,CLEAR,WNW
film,3,CLEAR,WNW
final,6,CLEAR,WNW
finally,10,CLEAR,WNW
find,9,CLEAR,WNW
finding,1,CLEAR,WNW
fine,2,CLEAR,WNW
finish,4,CLEAR,WNW
finished,1,CLEAR,WNW
first,27,CLEAR,WNW
