keyword,count,weather,wind_direction
000,3,CLEAR,W
100,4,CLEAR,W
101,2,CLEAR,W
1st,10,CLEAR,W
2010,13,CLEAR,W
2nd,11,CLEAR,W
aan,8,CLEAR,W
able,6,CLEAR,W
absolutely,2,CLEAR,W
account,6,CLEAR,W
aching,1,CLEAR,W
act,7,CLEAR,W
action,7,CLEAR,W
actually,22,CLEAR,W
adam,4,CLEAR,W
add,7,CLEAR,W
after,36,CLEAR,W
afternoon,4,CLEAR,W
again,52,CLEAR,W
against,7,CLEAR,W
age,11,CLEAR,W
ago,11,CLEAR,W
ahead,5,CLEAR,W
ain,8,CLEAR,W
aint,8,CLEAR,W
air,10,CLEAR,W
airport,4,CLEAR,W
alarm,6,CLEAR,W
album,2,CLEAR,W
alive,6,CLEAR,W
almost,29,CLEAR,W
alone,8,CLEAR,W
along,6,CLEAR,W
already,22,CLEAR,W
alright,5,CLEAR,W
als,7,CLEAR,W
also,20,CLEAR,W
always,52,CLEAR,W
amazing,43,CLEAR,W
american,40,CLEAR,W
android,4,CLEAR,W
annoying,7,CLEAR,W
another,29,CLEAR,W
answer,8,CLEAR,W
antique,1,CLEAR,W
any,44,CLEAR,W
anybody,6,CLEAR,W
anymore,7,CLEAR,W
anyone,43,CLEAR,W
anything,23,CLEAR,W
anytime,5,CLEAR,W
anyway,2,CLEAR,W
app,6,CLEAR,W
apparently,7,CLEAR,W
appetite,2,CLEAR,W
apple,3,CLEAR,W
arcade,9,CLEAR,W
around,32,CLEAR,W
art,25,CLEAR,W
arts,21,CLEAR,W
ask,13,CLEAR,W
asked,5,CLEAR,W
asking,4,CLEAR,W
asleep,8,CLEAR,W
ass,7,CLEAR,W
ate,5,CLEAR,W
attention,6,CLEAR,W
august,23,CLEAR,W
awake,7,CLEAR,W
away,28,CLEAR,W
awesome,29,CLEAR,W
baby,30,CLEAR,W
back,113,CLEAR,W
bad,47,CLEAR,W
band,3,CLEAR,W
bar,5,CLEAR,W
baseball,5,CLEAR,W
basketball,5,CLEAR,W
bday,6,CLEAR,W
beach,8,CLEAR,W
beat,12,CLEAR,W
beautiful,14,CLEAR,W
beauty,4,CLEAR,W
because,40,CLEAR,W
become,4,CLEAR,W
bed,21,CLEAR,W
been,43,CLEAR,W
beer,3,CLEAR,W
before,28,CLEAR,W
beginning,3,CLEAR,W
behind,9,CLEAR,W
being,52,CLEAR,W
believe,20,CLEAR,W
ben,6,CLEAR,W
best,75,CLEAR,W
bet,8,CLEAR,W
better,72,CLEAR,W
between,14,CLEAR,W
beyond,3,CLEAR,W
bieber,4,CLEAR,W
big,43,CLEAR,W
biggest,4,CLEAR,W
bill,11,CLEAR,W
birthday,11,CLEAR,W
bit,13,CLEAR,W
black,21,CLEAR,W
blackberry,1,CLEAR,W
blog,4,CLEAR,W
blood,11,CLEAR,W
blows,2,CLEAR,W
blue,7,CLEAR,W
body,20,CLEAR,W
bomb,4,CLEAR,W
book,13,CLEAR,W
books,7,CLEAR,W
boondocks,5,CLEAR,W
bored,16,CLEAR,W
boring,15,CLEAR,W
both,10,CLEAR,W
bought,20,CLEAR,W
bout,12,CLEAR,W
box,6,CLEAR,W
boy,14,CLEAR,W
boyfriend,3,CLEAR,W
boys,11,CLEAR,W
brain,5,CLEAR,W
break,12,CLEAR,W
breakfast,9,CLEAR,W
breath,8,CLEAR,W
breathing,1,CLEAR,W
briefing,2,CLEAR,W
briefly,22,CLEAR,W
bring,11,CLEAR,W
bro,7,CLEAR,W
broke,6,CLEAR,W
broken,6,CLEAR,W
brother,13,CLEAR,W
brown,7,CLEAR,W
building,5,CLEAR,W
burn,5,CLEAR,W
burning,5,CLEAR,W
bus,4,CLEAR,W
business,9,CLEAR,W
busy,3,CLEAR,W
buy,19,CLEAR,W
bye,1,CLEAR,W
cake,10,CLEAR,W
call,20,CLEAR,W
called,18,CLEAR,W
calling,4,CLEAR,W
calls,4,CLEAR,W
came,5,CLEAR,W
camp,3,CLEAR,W
cannot,7,CLEAR,W
cant,21,CLEAR,W
car,16,CLEAR,W
card,4,CLEAR,W
care,18,CLEAR,W
cars,35,CLEAR,W
case,4,CLEAR,W
cat,6,CLEAR,W
catch,8,CLEAR,W
caught,2,CLEAR,W
cause,20,CLEAR,W
causing,1,CLEAR,W
chance,9,CLEAR,W
change,16,CLEAR,W
changed,2,CLEAR,W
channel,9,CLEAR,W
character,4,CLEAR,W
check,14,CLEAR,W
cheese,7,CLEAR,W
chest,1,CLEAR,W
chick,10,CLEAR,W
chicken,3,CLEAR,W
child,4,CLEAR,W
children,6,CLEAR,W
china,4,CLEAR,W
chocolate,6,CLEAR,W
choice,6,CLEAR,W
chris,7,CLEAR,W
christmas,5,CLEAR,W
church,11,CLEAR,W
city,32,CLEAR,W
class,7,CLEAR,W
clean,4,CLEAR,W
cleaning,3,CLEAR,W
close,10,CLEAR,W
closed,5,CLEAR,W
clothes,9,CLEAR,W
club,4,CLEAR,W
coffee,8,CLEAR,W
cold,13,CLEAR,W
college,5,CLEAR,W
com,5,CLEAR,W
come,40,CLEAR,W
comes,13,CLEAR,W
comic,2,CLEAR,W
coming,40,CLEAR,W
company,7,CLEAR,W
complete,5,CLEAR,W
completely,6,CLEAR,W
computer,11,CLEAR,W
con,4,CLEAR,W
concert,3,CLEAR,W
control,5,CLEAR,W
convention,108,CLEAR,W
convetion,13,CLEAR,W
cook,4,CLEAR,W
cooking,7,CLEAR,W
cool,32,CLEAR,W
cough,1,CLEAR,W
could,39,CLEAR,W
count,1,CLEAR,W
country,8,CLEAR,W
couple,6,CLEAR,W
course,5,CLEAR,W
cousin,9,CLEAR,W
crazy,27,CLEAR,W
cream,8,CLEAR,W
crisis,11,CLEAR,W
cry,4,CLEAR,W
crying,4,CLEAR,W
cup,2,CLEAR,W
currently,13,CLEAR,W
cut,6,CLEAR,W
cute,19,CLEAR,W
cuz,16,CLEAR,W
dad,20,CLEAR,W
dan,15,CLEAR,W
dance,7,CLEAR,W
dark,5,CLEAR,W
dat,28,CLEAR,W
date,5,CLEAR,W
david,9,CLEAR,W
days,36,CLEAR,W
dead,20,CLEAR,W
deal,10,CLEAR,W
dear,7,CLEAR,W
death,11,CLEAR,W
debate,4,CLEAR,W
decided,2,CLEAR,W
deep,9,CLEAR,W
definitely,10,CLEAR,W
depressing,3,CLEAR,W
design,7,CLEAR,W
desire,5,CLEAR,W
diarrhea,1,CLEAR,W
did,34,CLEAR,W
didn,15,CLEAR,W
didnt,6,CLEAR,W
die,27,CLEAR,W
