keyword,count,weather,wind_direction
100,2,CLOUDY,NW
101,1,CLOUDY,NW
1st,9,CLOUDY,NW
2010,4,CLOUDY,NW
2nd,3,CLOUDY,NW
aan,1,CLOUDY,NW
able,2,CLOUDY,NW
accident,1,CLOUDY,NW
account,2,CLOUDY,NW
aching,2,CLOUDY,NW
act,1,CLOUDY,NW
action,5,CLOUDY,NW
actually,7,CLOUDY,NW
adam,1,CLOUDY,NW
add,1,CLOUDY,NW
after,16,CLOUDY,NW
afternoon,3,CLOUDY,NW
again,20,CLOUDY,NW
against,8,CLOUDY,NW
age,4,CLOUDY,NW
ago,2,CLOUDY,NW
ahead,3,CLOUDY,NW
ain,5,CLOUDY,NW
aint,3,CLOUDY,NW
air,6,CLOUDY,NW
alarm,1,CLOUDY,NW
album,4,CLOUDY,NW
alive,1,CLOUDY,NW
almost,7,CLOUDY,NW
along,3,CLOUDY,NW
already,15,CLOUDY,NW
alright,1,CLOUDY,NW
als,2,CLOUDY,NW
also,11,CLOUDY,NW
always,11,CLOUDY,NW
amazing,13,CLOUDY,NW
android,1,CLOUDY,NW
annoying,5,CLOUDY,NW
another,14,CLOUDY,NW
any,10,CLOUDY,NW
anybody,3,CLOUDY,NW
anyone,10,CLOUDY,NW
anything,12,CLOUDY,NW
anytime,2,CLOUDY,NW
app,2,CLOUDY,NW
apparently,2,CLOUDY,NW
appetite,1,CLOUDY,NW
apple,2,CLOUDY,NW
arcade,4,CLOUDY,NW
around,7,CLOUDY,NW
art,3,CLOUDY,NW
ask,6,CLOUDY,NW
asked,1,CLOUDY,NW
asking,1,CLOUDY,NW
asleep,4,CLOUDY,NW
ass,5,CLOUDY,NW
ate,1,CLOUDY,NW
attention,2,CLOUDY,NW
august,15,CLOUDY,NW
awake,3,CLOUDY,NW
away,8,CLOUDY,NW
awesome,3,CLOUDY,NW
baby,10,CLOUDY,NW
back,34,CLOUDY,NW
bad,30,CLOUDY,NW
band,3,CLOUDY,NW
