keyword,count,weather,wind_direction
100,1,CLOUDY,NW
1st,2,CLOUDY,NW
2010,3,CLOUDY,NW
2nd,3,CLOUDY,NW
aan,1,CLOUDY,NW
able,1,CLOUDY,NW
account,1,CLOUDY,NW
act,2,CLOUDY,NW
action,3,CLOUDY,NW
actually,7,CLOUDY,NW
adam,1,CLOUDY,NW
add,1,CLOUDY,NW
after,13,CLOUDY,NW
afternoon,1,CLOUDY,NW
again,12,CLOUDY,NW
against,3,CLOUDY,NW
age,2,CLOUDY,NW
ago,2,CLOUDY,NW
ahead,1,CLOUDY,NW
ain,2,CLOUDY,NW
aint,2,CLOUDY,NW
air,1,CLOUDY,NW
airport,1,CLOUDY,NW
alarm,3,CLOUDY,NW
album,1,CLOUDY,NW
alive,2,CLOUDY,NW
almost,5,CLOUDY,NW
along,1,CLOUDY,NW
already,4,CLOUDY,NW
alright,3,CLOUDY,NW
als,1,CLOUDY,NW
also,8,CLOUDY,NW
always,7,CLOUDY,NW
amazing,9,CLOUDY,NW
american,1,CLOUDY,NW
annoying,4,CLOUDY,NW
another,5,CLOUDY,NW
answer,1,CLOUDY,NW
any,9,CLOUDY,NW
anybody,1,CLOUDY,NW
anymore,2,CLOUDY,NW
anyone,6,CLOUDY,NW
anything,6,CLOUDY,NW
anyway,1,CLOUDY,NW
app,2,CLOUDY,NW
apparently,3,CLOUDY,NW
appetite,1,CLOUDY,NW
arcade,5,CLOUDY,NW
around,6,CLOUDY,NW
ask,3,CLOUDY,NW
asked,2,CLOUDY,NW
ass,1,CLOUDY,NW
ate,2,CLOUDY,NW
attention,3,CLOUDY,NW
august,13,CLOUDY,NW
awake,4,CLOUDY,NW
away,7,CLOUDY,NW
awesome,8,CLOUDY,NW
baby,11,CLOUDY,NW
back,25,CLOUDY,NW
bad,9,CLOUDY,NW
band,1,CLOUDY,NW
basketball,1,CLOUDY,NW
bday,1,CLOUDY,NW
beach,2,CLOUDY,NW
beat,1,CLOUDY,NW
beautiful,5,CLOUDY,NW
beauty,1,CLOUDY,NW
because,9,CLOUDY,NW
become,2,CLOUDY,NW
bed,6,CLOUDY,NW
been,9,CLOUDY,NW
beer,2,CLOUDY,NW
before,7,CLOUDY,NW
beginning,2,CLOUDY,NW
behind,5,CLOUDY,NW
being,13,CLOUDY,NW
believe,5,CLOUDY,NW
ben,2,CLOUDY,NW
best,15,CLOUDY,NW
bet,1,CLOUDY,NW
better,16,CLOUDY,NW
between,2,CLOUDY,NW
beyond,1,CLOUDY,NW
bieber,1,CLOUDY,NW
big,15,CLOUDY,NW
biggest,2,CLOUDY,NW
bill,3,CLOUDY,NW
birthday,3,CLOUDY,NW
bit,3,CLOUDY,NW
black,7,CLOUDY,NW
blackberry,1,CLOUDY,NW
blog,2,CLOUDY,NW
blue,3,CLOUDY,NW
body,6,CLOUDY,NW
book,5,CLOUDY,NW
books,3,CLOUDY,NW
boondocks,5,CLOUDY,NW
bored,2,CLOUDY,NW
boring,4,CLOUDY,NW
both,6,CLOUDY,NW
bought,1,CLOUDY,NW
