keyword,count,weather,wind_direction
000,1,CLEAR,W
100,6,CLEAR,W
2010,1,CLEAR,W
2nd,5,CLEAR,W
aan,4,CLEAR,W
able,5,CLEAR,W
accident,1,CLEAR,W
account,2,CLEAR,W
act,4,CLEAR,W
actually,15,CLEAR,W
adam,1,CLEAR,W
after,12,CLEAR,W
afternoon,2,CLEAR,W
again,19,CLEAR,W
age,2,CLEAR,W
ago,10,CLEAR,W
ahead,3,CLEAR,W
ain,4,CLEAR,W
aint,4,CLEAR,W
air,3,CLEAR,W
airport,1,CLEAR,W
alarm,5,CLEAR,W
album,4,CLEAR,W
alive,4,CLEAR,W
almost,6,CLEAR,W
alone,6,CLEAR,W
along,3,CLEAR,W
already,11,CLEAR,W
alright,3,CLEAR,W
als,1,CLEAR,W
also,8,CLEAR,W
always,15,CLEAR,W
amazing,15,CLEAR,W
american,3,CLEAR,W
android,3,CLEAR,W
annoying,4,CLEAR,W
another,19,CLEAR,W
answer,2,CLEAR,W
any,21,CLEAR,W
anybody,1,CLEAR,W
anymore,3,CLEAR,W
anyone,11,CLEAR,W
anything,13,CLEAR,W
anytime,7,CLEAR,W
anyway,2,CLEAR,W
app,4,CLEAR,W
apparently,2,CLEAR,W
arcade,13,CLEAR,W
around,14,CLEAR,W
art,9,CLEAR,W
arts,9,CLEAR,W
ask,1,CLEAR,W
asked,2,CLEAR,W
asking,2,CLEAR,W
asleep,3,CLEAR,W
ass,1,CLEAR,W
attention,1,CLEAR,W
august,4,CLEAR,W
awake,3,CLEAR,W
away,11,CLEAR,W
awesome,29,CLEAR,W
baby,15,CLEAR,W
back,38,CLEAR,W
bad,23,CLEAR,W
band,1,CLEAR,W
bar,1,CLEAR,W
basketball,2,CLEAR,W
bday,1,CLEAR,W
beach,3,CLEAR,W
beat,5,CLEAR,W
beautiful,3,CLEAR,W
beauty,3,CLEAR,W
because,16,CLEAR,W
become,4,CLEAR,W
bed,13,CLEAR,W
bedridden,1,CLEAR,W
been,25,CLEAR,W
beer,3,CLEAR,W
before,13,CLEAR,W
behind,4,CLEAR,W
being,22,CLEAR,W
believe,6,CLEAR,W
ben,4,CLEAR,W
best,23,CLEAR,W
bet,3,CLEAR,W
better,27,CLEAR,W
between,3,CLEAR,W
beyond,1,CLEAR,W
bieber,2,CLEAR,W
big,23,CLEAR,W
biggest,2,CLEAR,W
bill,4,CLEAR,W
birthday,4,CLEAR,W
bit,9,CLEAR,W
black,13,CLEAR,W
blackberry,6,CLEAR,W
blog,1,CLEAR,W
blood,7,CLEAR,W
blue,4,CLEAR,W
body,6,CLEAR,W
bomb,1,CLEAR,W
book,8,CLEAR,W
books,4,CLEAR,W
boondocks,18,CLEAR,W
bored,7,CLEAR,W
boring,5,CLEAR,W
both,5,CLEAR,W
bought,11,CLEAR,W
bout,5,CLEAR,W
box,5,CLEAR,W
boy,5,CLEAR,W
boyfriend,1,CLEAR,W
boys,2,CLEAR,W
break,5,CLEAR,W
breakfast,3,CLEAR,W
breath,2,CLEAR,W
briefly,7,CLEAR,W
bring,1,CLEAR,W
bro,1,CLEAR,W
broken,1,CLEAR,W
brother,8,CLEAR,W
brown,9,CLEAR,W
building,2,CLEAR,W
burn,3,CLEAR,W
burning,1,CLEAR,W
business,7,CLEAR,W
busy,4,CLEAR,W
buy,12,CLEAR,W
bye,1,CLEAR,W
call,5,CLEAR,W
called,8,CLEAR,W
calling,2,CLEAR,W
calls,3,CLEAR,W
came,2,CLEAR,W
camp,4,CLEAR,W
cannot,3,CLEAR,W
cant,6,CLEAR,W
car,15,CLEAR,W
card,1,CLEAR,W
care,7,CLEAR,W
cars,12,CLEAR,W
case,2,CLEAR,W
cat,6,CLEAR,W
catch,1,CLEAR,W
caught,1,CLEAR,W
cause,7,CLEAR,W
chance,4,CLEAR,W
change,7,CLEAR,W
changed,3,CLEAR,W
channel,1,CLEAR,W
character,1,CLEAR,W
check,4,CLEAR,W
cheese,1,CLEAR,W
chest,2,CLEAR,W
chick,1,CLEAR,W
chicken,1,CLEAR,W
child,4,CLEAR,W
children,7,CLEAR,W
china,3,CLEAR,W
chocolate,3,CLEAR,W
choice,3,CLEAR,W
chris,1,CLEAR,W
christmas,4,CLEAR,W
church,5,CLEAR,W
city,4,CLEAR,W
class,3,CLEAR,W
clean,2,CLEAR,W
cleaning,1,CLEAR,W
close,2,CLEAR,W
clothes,2,CLEAR,W
club,2,CLEAR,W
coffee,4,CLEAR,W
cold,6,CLEAR,W
college,1,CLEAR,W
com,1,CLEAR,W
come,19,CLEAR,W
comes,6,CLEAR,W
comic,1,CLEAR,W
coming,18,CLEAR,W
company,2,CLEAR,W
complete,1,CLEAR,W
completely,5,CLEAR,W
computer,2,CLEAR,W
